"Plate","Well","WellID","SampleID","Host","Virus","Cross","Dilution","Letter.Code","Resistance","Light","Transfer","Date.of.Last.Transfer","RFU","date","short.date","newIDs","newVirus","newHost","newCross","plate.transfer","ID.plate","newID.plate"
"hi1a","A1","P1A1","1328v1xE","FL13","28v","FL13x28v","1x","E","resistant","high","T1","5/22/18",560,2018-05-22 18:09:29,"2018-05-22","M1V31xE","V3","M1","M1V3","hi1a T1","1328v1xE hi1a","M1V31xE hi1a"
"hi1a","A2","P1A2","1322v10xF","FL13","22v","FL13x22v","10x","F","resistant","high","T1","5/22/18",4316,2018-05-22 18:09:29,"2018-05-22","M1V210xF","V2","M1","M1V2","hi1a T1","1322v10xF hi1a","M1V210xF hi1a"
"hi1a","A3","P1A3","42s103xF","FL42",NA,"FL42s","10^3x","F","susceptible","high","T1","5/22/18",2364,2018-05-22 18:09:29,"2018-05-22","M2S103xF",NA,"M2","M2S","hi1a T1","42s103xF hi1a","M2S103xF hi1a"
"hi1a","A4","P1A4","4242v103xF","FL42","42v","FL42x42v","10^2x","F","resistant","high","T1","5/22/18",1724,2018-05-22 18:09:29,"2018-05-22","M2V4103xF","V4","M2","M2V4","hi1a T1","4242v103xF hi1a","M2V4103xF hi1a"
"hi1a","A5","P1A5","1328v102xA","FL13","28v","FL13x28v","10^2x","A","resistant","high","T1","5/22/18",175,2018-05-22 18:09:29,"2018-05-22","M1V3102xA","V3","M1","M1V3","hi1a T1","1328v102xA hi1a","M1V3102xA hi1a"
"hi1a","A6","P1A6","1313v1xA","FL13","13v","FL13x13v","1x","A","resistant","high","T1","5/22/18",707,2018-05-22 18:09:29,"2018-05-22","M1V11xA","V1","M1","M1V1","hi1a T1","1313v1xA hi1a","M1V11xA hi1a"
"hi1a","B1","P1B1","4242102xF","FL42","42v","FL42x42v","10^2x","F","resistant","high","T1","5/22/18",799,2018-05-22 18:09:29,"2018-05-22","M2V2102xF","V4","M2","M2V4","hi1a T1","4242102xF hi1a","M2V2102xF hi1a"
"hi1a","B2","P1B2","4228v103xE","FL42","28v","FL42x28v","10^3x","E","resistant","high","T1","5/22/18",5390,2018-05-22 18:09:29,"2018-05-22","M2V3103xE","V3","M2","M2V3","hi1a T1","4228v103xE hi1a","M2V3103xE hi1a"
"hi1a","B3","P1B3","13s103xF","FL13",NA,"FL13s","10^3x","F","susceptible","high","T1","5/22/18",4019,2018-05-22 18:09:29,"2018-05-22","M1S103xF",NA,"M1","M1S","hi1a T1","13s103xF hi1a","M1S103xF hi1a"
"hi1a","B4","P1B4","1322v10xD","FL13","22v","FL13x22v","10x","D","resistant","high","T1","5/22/18",1517,2018-05-22 18:09:29,"2018-05-22","M1V210xD","V2","M1","M1V2","hi1a T1","1322v10xD hi1a","M1V210xD hi1a"
"hi1a","B5","P1B5","42s103xE","FL42",NA,"FL42s","10^3x","E","susceptible","high","T1","5/22/18",3029,2018-05-22 18:09:29,"2018-05-22","M2S103xE",NA,"M2","M2S","hi1a T1","42s103xE hi1a","M2S103xE hi1a"
"hi1a","B6","P1B6","1313v1xAb","FL13","13v","FL13x13v","1x","Ab","resistant","high","T1","5/22/18",865,2018-05-22 18:09:29,"2018-05-22","M1V11xAb","V1","M1","M1V1","hi1a T1","1313v1xAb hi1a","M1V11xAb hi1a"
"hi1a","C1","P1C1","4242v1xF","FL42","42v","FL42x42v","1x","F","resistant","high","T1","5/22/18",5552,2018-05-22 18:09:29,"2018-05-22","M2V41xF","V4","M2","M2V4","hi1a T1","4242v1xF hi1a","M2V41xF hi1a"
"hi1a","C2","P1C2","13s1xF","FL13",NA,"FL13s","1x","F","susceptible","high","T1","5/22/18",3652,2018-05-22 18:09:29,"2018-05-22","M1S1xF",NA,"M1","M1S","hi1a T1","13s1xF hi1a","M1S1xF hi1a"
"hi1a","C3","P1C3","1313v10xC","FL13","13v","FL13x13v","10x","C","resistant","high","T1","5/22/18",1606,2018-05-22 18:09:29,"2018-05-22","M1V110xC","V1","M1","M1V1","hi1a T1","1313v10xC hi1a","M1V110xC hi1a"
"hi1a","C4","P1C4","1328v1xC","FL13","28v","FL13x28v","1x","C","resistant","high","T1","5/22/18",480,2018-05-22 18:09:29,"2018-05-22","M1V31xC","V3","M1","M1V3","hi1a T1","1328v1xC hi1a","M1V31xC hi1a"
"hi1a","C5","P1C5","42s1xF","FL42",NA,"FL42s","1x","F","susceptible","high","T1","5/22/18",2802,2018-05-22 18:09:29,"2018-05-22","M2S1xF",NA,"M2","M2S","hi1a T1","42s1xF hi1a","M2S1xF hi1a"
"hi1a","C6","P1C6","1322v1xF","FL13","22v","FL13x22v","1x","F","resistant","high","T1","5/22/18",1178,2018-05-22 18:09:29,"2018-05-22","M1V21xF","V2","M1","M1V2","hi1a T1","1322v1xF hi1a","M1V21xF hi1a"
"hi1a","D1","P1D1","1328v1xA","FL13","28v","FL13x28v","10^3x","A","resistant","high","T1","5/22/18",3652,2018-05-22 18:09:29,"2018-05-22","M1V31xA","V3","M1","M1V3","hi1a T1","1328v1xA hi1a","M1V31xA hi1a"
"hi1a","D2","P1D2","4222v103xF","FL42","22v","FL42x22v","10^3x","F","resistant","high","T1","5/22/18",3718,2018-05-22 18:09:29,"2018-05-22","M2V2103xF","V2","M2","M2V2","hi1a T1","4222v103xF hi1a","M2V2103xF hi1a"
"hi1a","D3","P1D3","4242102xB","FL42","42v","FL42x42v","10^2x","B","resistant","high","T1","5/22/18",2715,2018-05-22 18:09:29,"2018-05-22","M2V2102xB","V4","M2","M2V4","hi1a T1","4242102xB hi1a","M2V2102xB hi1a"
"hi1a","D4","P1D4","4228v103xA","FL42","28v","FL42x28v","10^3x","A","resistant","high","T1","5/22/18",1524,2018-05-22 18:09:29,"2018-05-22","M2V3103xA","V3","M2","M2V3","hi1a T1","4228v103xA hi1a","M2V3103xA hi1a"
"hi1a","D5","P1D5","13s10xF","FL13",NA,"FL13s","10x","F","susceptible","high","T1","5/22/18",3888,2018-05-22 18:09:29,"2018-05-22","M1S10xF",NA,"M1","M1S","hi1a T1","13s10xF hi1a","M1S10xF hi1a"
"hi1a","D6","P1D6","1322v10xC","FL13","22v","FL13x22v","10x","C","resistant","high","T1","5/22/18",1132,2018-05-22 18:09:29,"2018-05-22","M1V210xC","V2","M1","M1V2","hi1a T1","1322v10xC hi1a","M1V210xC hi1a"
"hi1a","A1","P1A1","1328v1xE","FL13","28v","FL13x28v","1x","E","resistant","high","T1","5/22/18",361,2018-05-23 17:56:07,"2018-05-23","M1V31xE","V3","M1","M1V3","hi1a T1","1328v1xE hi1a","M1V31xE hi1a"
