SampleID,T2.start,T2.end,T3.start,T3.end,T4.start,T4.end,ID.plate
1328v1xE,5/27/18,5/30/18,5/31/18,6/4/18,6/6/18,6/8/18,1328v1xE hi1a
1322v10xF,5/25/18,5/31/18,5/31/18,6/4/18,6/6/18,6/8/18,1322v10xF hi1a
42s103xF,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s103xF hi1a
4242v103xF,5/28/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,4242v103xF hi1a
1328v102xA,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1328v102xA hi1a
1313v1xA,5/25/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1313v1xA hi1a
4242102xF,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4242102xF hi1a
4228v103xE,5/25/18,5/31/18,5/30/18,6/2/18,6/6/18,6/8/18,4228v103xE hi1a
13s103xF,5/27/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,13s103xF hi1a
1322v10xD,5/28/18,5/30/18,5/30/18,6/2/18,6/6/18,6/8/18,1322v10xD hi1a
42s103xE,5/25/18,5/27/18,5/31/18,6/2/18,6/5/18,6/7/18,42s103xE hi1a
1313v1xAb,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1313v1xAb hi1a
4242v1xF,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4242v1xF hi1a
13s1xF,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,13s1xF hi1a
1313v10xC,5/27/18,5/29/18,5/31/18,6/4/18,6/6/18,6/8/18,1313v10xC hi1a
1328v1xC,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,1328v1xC hi1a
42s1xF,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/8/18,42s1xF hi1a
1322v1xF,5/28/18,5/30/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v1xF hi1a
1328v1xA,5/25/18,5/29/18,5/30/18,6/4/18,6/5/18,6/8/18,1328v1xA hi1a
4222v103xF,5/25/18,5/29/18,5/30/18,6/2/18,6/5/18,6/8/18,4222v103xF hi1a
4242102xB,5/25/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4242102xB hi1a
4228v103xA,5/26/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,4228v103xA hi1a
13s10xF,5/25/18,5/29/18,5/31/18,6/4/18,6/5/18,6/8/18,13s10xF hi1a
1322v10xC,5/25/18,5/28/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v10xC hi1a
1328v1xE,5/27/18,5/31/18,5/31/18,6/2/18,6/5/18,6/8/18,1328v1xE hi1b
1322v10xF,5/28/18,5/31/18,5/30/18,6/4/18,6/5/18,6/8/18,1322v10xF hi1b
42s103xF,5/25/18,5/27/18,5/30/18,6/2/18,6/5/18,6/7/18,42s103xF hi1b
4242v103xF,5/28/18,5/31/18,5/31/18,6/4/18,6/6/18,6/8/18,4242v103xF hi1b
1328v102xA,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1328v102xA hi1b
1313v1xA,5/25/18,5/30/18,5/30/18,6/2/18,6/6/18,6/8/18,1313v1xA hi1b
4242102xF,5/28/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,4242102xF hi1b
4228v103xE,5/25/18,5/30/18,5/31/18,6/2/18,6/5/18,6/6/18,4228v103xE hi1b
13s103xF,5/25/18,5/29/18,5/30/18,6/2/18,6/6/18,6/8/18,13s103xF hi1b
1322v10xD,5/28/18,5/30/18,5/30/18,6/2/18,6/5/18,6/8/18,1322v10xD hi1b
42s103xE,5/25/18,5/27/18,5/31/18,6/2/18,6/5/18,6/6/18,42s103xE hi1b
1313v1xAb,5/27/18,5/29/18,5/31/18,6/2/18,6/5/18,6/8/18,1313v1xAb hi1b
4242v1xF,5/27/18,5/30/18,5/31/18,6/4/18,6/5/18,6/8/18,4242v1xF hi1b
13s1xF,5/25/18,5/29/18,5/31/18,6/2/18,6/5/18,6/7/18,13s1xF hi1b
1313v10xC,5/27/18,5/29/18,5/31/18,6/2/18,6/6/18,6/8/18,1313v10xC hi1b
1328v1xC,5/25/18,5/29/18,5/31/18,6/2/18,6/6/18,6/8/18,1328v1xC hi1b
42s1xF,5/25/18,5/28/18,5/31/18,6/1/18,6/5/18,6/7/18,42s1xF hi1b
1322v1xF,5/25/18,5/31/18,5/31/18,6/4/18,6/5/18,6/8/18,1322v1xF hi1b
1328v1xA,5/25/18,5/29/18,5/31/18,6/2/18,6/5/18,6/8/18,1328v1xA hi1b
4222v103xF,5/28/18,5/31/18,5/31/18,6/2/18,6/5/18,6/8/18,4222v103xF hi1b
4242102xB,5/27/18,5/30/18,5/31/18,6/2/18,6/5/18,6/8/18,4242102xB hi1b
4228v103xA,5/25/18,5/29/18,5/31/18,6/2/18,6/5/18,6/7/18,4228v103xA hi1b
13s10xF,5/25/18,5/31/18,5/31/18,6/2/18,6/5/18,6/7/18,13s10xF hi1b
