SampleID,start.T2,end.T2,start.T3,end.T3,ID.plate
1328v1xE,5/28/18,5/30/18,6/5/18,6/8/18,1328v1xE lo1a
1322v10xF,5/30/18,6/4/18,6/5/18,6/8/18,1322v10xF lo1a
42s103xF,5/28/18,5/30/18,6/5/18,6/7/18,42s103xF lo1a
4242v103xF,5/28/18,5/30/18,6/5/18,6/8/18,4242v103xF lo1a
1328v102xA,5/28/18,5/30/18,6/5/18,6/8/18,1328v102xA lo1a
1313v1xA,5/28/18,6/3/18,6/5/18,6/7/18,1313v1xA lo1a
4242102xF,5/28/18,5/30/18,6/6/18,6/8/18,4242102xF lo1a
4228v103xE,5/30/18,6/4/18,6/5/18,6/7/18,4228v103xE lo1a
13s103xF,5/29/18,6/4/18,6/5/18,6/8/18,13s103xF lo1a
1322v10xD,5/30/18,6/4/18,6/6/18,6/8/18,1322v10xD lo1a
42s103xE,5/30/18,6/4/18,6/6/18,6/8/18,42s103xE lo1a
1313v1xAb,5/28/18,5/30/18,6/5/18,6/8/18,1313v1xAb lo1a
4242v1xF,5/28/18,5/30/18,6/6/18,6/8/18,4242v1xF lo1a
13s1xF,5/29/18,6/4/18,6/6/18,6/8/18,13s1xF lo1a
1313v10xC,5/28/18,5/30/18,6/5/18,6/8/18,1313v10xC lo1a
1328v1xC,5/28/18,5/30/18,6/6/18,6/8/18,1328v1xC lo1a
42s1xF,5/30/18,6/4/18,6/5/18,6/8/18,42s1xF lo1a
1322v1xF,5/31/18,6/4/18,6/5/18,6/8/18,1322v1xF lo1a
1328v1xA,5/29/18,6/1/18,6/6/18,6/8/18,1328v1xA lo1a
4222v103xF,5/31/18,6/4/18,6/5/18,6/8/18,4222v103xF lo1a
4242102xB,5/29/18,5/31/18,6/5/18,6/8/18,4242102xB lo1a
4228v103xA,5/30/18,6/4/18,6/5/18,6/7/18,4228v103xA lo1a
13s10xF,5/28/18,5/30/18,6/5/18,6/8/18,13s10xF lo1a
1322v10xC,5/30/18,6/4/18,6/5/18,6/7/18,1322v10xC lo1a
1328v1xE,5/30/18,6/4/18,6/5/18,6/8/18,1328v1xE lo1b
1322v10xF,5/29/18,6/4/18,6/5/18,6/8/18,1322v10xF lo1b
42s103xF,5/30/18,6/4/18,6/5/18,6/8/18,42s103xF lo1b
4242v103xF,5/28/18,6/1/18,6/5/18,6/8/18,4242v103xF lo1b
1328v102xA,5/28/18,5/30/18,6/5/18,6/8/18,1328v102xA lo1b
1313v1xA,5/28/18,6/2/18,6/6/18,6/8/18,1313v1xA lo1b
4242102xF,5/28/18,5/30/18,6/5/18,6/8/18,4242102xF lo1b
4228v103xE,5/30/18,6/3/18,6/5/18,6/7/18,4228v103xE lo1b
13s103xF,5/29/18,6/4/18,6/5/18,6/8/18,13s103xF lo1b
1322v10xD,5/29/18,6/4/18,6/5/18,6/8/18,1322v10xD lo1b
42s103xE,5/29/18,6/4/18,6/6/18,6/8/18,42s103xE lo1b
1313v1xAb,5/29/18,6/1/18,6/5/18,6/8/18,1313v1xAb lo1b
4242v1xF,5/28/18,5/30/18,6/6/18,6/8/18,4242v1xF lo1b
13s1xF,5/28/18,5/30/18,6/6/18,6/8/18,13s1xF lo1b
1313v10xC,5/28/18,5/30/18,6/5/18,6/7/18,1313v10xC lo1b
1328v1xC,5/28/18,6/2/18,6/5/18,6/8/18,1328v1xC lo1b
42s1xF,5/30/18,6/4/18,6/6/18,6/8/18,42s1xF lo1b
1322v1xF,5/28/18,6/4/18,6/5/18,6/8/18,1322v1xF lo1b
1328v1xA,5/30/18,6/4/18,6/5/18,6/7/18,1328v1xA lo1b
4222v103xF,5/30/18,6/4/18,6/5/18,6/8/18,4222v103xF lo1b
4242102xB,5/28/18,6/4/18,6/6/18,6/8/18,4242102xB lo1b
4228v103xA,5/30/18,6/4/18,6/5/18,6/8/18,4228v103xA lo1b
13s10xF,5/30/18,6/4/18,6/5/18,6/8/18,13s10xF lo1b
1322v10xC,5/28/18,6/4/18,6/5/18,6/8/18,1322v10xC lo1b
4242v102xA,5/28/18,6/1/18,6/5/18,6/8/18,4242v102xA lo2a
4228v1xF,5/28/18,6/4/18,6/5/18,6/8/18,4228v1xF lo2a
1322v103xF,5/28/18,6/4/18,6/6/18,6/7/18,1322v103xF lo2a
42s102xF,5/28/18,6/4/18,6/5/18,6/8/18,42s102xF lo2a
1313v1xA,5/28/18,6/4/18,6/5/18,6/8/18,1313v1xA lo2a
42s10xF,5/29/18,6/4/18,6/6/18,6/8/18,42s10xF lo2a
1328v1xF,5/31/18,6/4/18,6/5/18,6/8/18,1328v1xF lo2a
1313v1xD,5/28/18,6/4/18,6/6/18,6/8/18,1313v1xD lo2a
4242v103xE,5/30/18,6/4/18,6/6/18,6/8/18,4242v103xE lo2a
4228v10xF,5/28/18,6/3/18,6/5/18,6/8/18,4228v10xF lo2a
4222v102xF,5/31/18,6/4/18,6/6/18,6/8/18,4222v102xF lo2a
13s102xF,5/29/18,6/4/18,6/6/18,6/8/18,13s102xF lo2a
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo2a
1322v10xA,5/30/18,6/4/18,6/5/18,6/8/18,1322v10xA lo2a
42421xE,5/30/18,6/3/18,6/6/18,6/8/18,42421xE lo2a
1322102xF,5/30/18,6/4/18,6/6/18,6/8/18,1322102xF lo2a
42s102xE,5/28/18,6/4/18,6/5/18,6/8/18,42s102xE lo2a
1313v102xB,5/28/18,6/4/18,6/5/18,6/8/18,1313v102xB lo2a
42s1xA,5/29/18,6/4/18,6/5/18,6/8/18,42s1xA lo2a
13s102xE,5/28/18,6/4/18,6/5/18,6/8/18,13s102xE lo2a
4228v102xE,5/29/18,6/3/18,6/5/18,6/8/18,4228v102xE lo2a
4222v1xE,5/29/18,6/3/18,6/5/18,6/8/18,4222v1xE lo2a
424210xB,5/29/18,6/4/18,6/6/18,6/8/18,424210xB lo2a
1322v103xE,5/29/18,6/4/18,6/5/18,6/8/18,1322v103xE lo2a
4242v102xA,5/28/18,6/1/18,6/6/18,6/8/18,4242v102xA lo2b
4228v1xF,5/29/18,6/1/18,6/6/18,6/8/18,4228v1xF lo2b
1322v103xF,5/30/18,6/4/18,6/6/18,6/8/18,1322v103xF lo2b
42s102xF,5/28/18,6/4/18,6/5/18,6/8/18,42s102xF lo2b
1313v1xA,5/30/18,6/1/18,6/5/18,6/7/18,1313v1xA lo2b
42s10xF,5/29/18,6/4/18,6/5/18,6/8/18,42s10xF lo2b
1328v1xF,5/30/18,6/4/18,6/6/18,6/8/18,1328v1xF lo2b
1313v1xD,5/28/18,6/4/18,6/5/18,6/8/18,1313v1xD lo2b
4242v103xE,5/28/18,6/3/18,6/6/18,6/8/18,4242v103xE lo2b
4228v10xF,5/28/18,6/4/18,6/6/18,6/8/18,4228v10xF lo2b
4222v102xF,5/28/18,6/4/18,6/6/18,6/8/18,4222v102xF lo2b
13s102xF,5/29/18,6/4/18,6/6/18,6/8/18,13s102xF lo2b
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo2b
1322v10xA,5/28/18,6/4/18,6/6/18,6/8/18,1322v10xA lo2b
42421xE,5/28/18,6/4/18,6/6/18,6/8/18,42421xE lo2b
1322102xF,5/28/18,6/4/18,6/6/18,6/8/18,1322102xF lo2b
42s102xE,5/28/18,6/4/18,6/6/18,6/8/18,42s102xE lo2b
1313v102xB,5/28/18,6/4/18,6/5/18,6/8/18,1313v102xB lo2b
42s1xA,5/30/18,6/4/18,6/5/18,6/8/18,42s1xA lo2b
13s102xE,5/29/18,6/4/18,6/6/18,6/8/18,13s102xE lo2b
4228v102xE,5/29/18,6/4/18,6/6/18,6/8/18,4228v102xE lo2b
4222v1xE,5/28/18,6/3/18,6/6/18,6/8/18,4222v1xE lo2b
424210xB,5/28/18,6/4/18,6/6/18,6/8/18,424210xB lo2b
1322v103xE,5/28/18,6/4/18,6/6/18,6/8/18,1322v103xE lo2b
1322v102xE,5/28/18,6/4/18,6/5/18,6/8/18,1322v102xE lo3a
42s10xE,5/28/18,6/1/18,6/6/18,6/8/18,42s10xE lo3a
42s1xE,5/29/18,6/1/18,6/5/18,6/8/18,42s1xE lo3a
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo3a
1328v1xA,5/30/18,6/4/18,6/5/18,6/8/18,1328v1xA lo3a
1313v10xD,5/28/18,6/4/18,6/5/18,6/8/18,1313v10xD lo3a
4222v10xE,5/29/18,6/4/18,6/5/18,6/8/18,4222v10xE lo3a
13103xE,5/29/18,6/1/18,6/5/18,6/8/18,13103xE lo3a
4228v10xE,5/30/18,6/1/18,6/5/18,6/8/18,4228v10xE lo3a
42s1xD,5/29/18,6/1/18,6/5/18,6/8/18,42s1xD lo3a
