unique.ID,T4.start,T4.end,T5.start,T5.end,T6.start,T6.end
Hi2a FL13,10/11/19,10/14/19,10/17/19,10/19/19,10/23/19,10/25/19
Hi2a 13s1xF(sus),10/8/19,10/14/19,10/15/19,10/19/19,10/23/19,10/24/19
Hi2a 1328v1xA103xB,10/10/19,10/15/19,10/17/19,10/20/19,10/24/19,10/26/19
Hi2a 131xC(sus),10/8/19,10/10/19,10/16/19,10/18/19,10/23/19,10/26/19
Hi2a 4228v10xE,10/9/19,10/11/19,10/18/19,10/20/19,10/23/19,10/26/19
Hi2a 13s103xCA,10/8/19,10/10/19,10/15/19,10/19/19,10/22/19,10/24/19
Hi2a 13s1xE,10/8/19,10/10/19,10/17/19,10/19/19,10/23/19,10/24/19
Hi2a 42s1xB,10/8/19,10/10/19,10/15/19,10/18/19,10/23/19,10/25/19
Hi2a 42s102xF,10/8/19,10/10/19,10/15/19,10/18/19,10/22/19,10/25/19
Hi2a 4228v103xA1xB,10/9/19,10/11/19,10/18/19,10/20/19,10/25/19,10/28/19
Hi2a 4222v103xF1xB,10/8/19,10/12/19,10/15/19,10/19/19,10/23/19,10/25/19
Hi2a 4222v103xF1xC,10/10/19,10/12/19,10/18/19,10/20/19,10/23/19,10/26/19
Hi2a 42s103xF10xC,10/8/19,10/10/19,10/17/19,10/19/19,10/23/19,10/25/19
Hi2a 13s103xCF,10/8/19,10/10/19,10/17/19,10/19/19,10/22/19,10/24/19
Hi2a 4222v103xF10xB,10/9/19,10/11/19,10/18/19,10/20/19,10/23/19,10/25/19
Hi2a 13s1xC,10/9/19,10/10/19,10/14/19,10/16/19,10/22/19,10/24/19
Hi2a 1322v103xF,10/8/19,10/10/19,10/15/18,10/19/19,10/22/19,10/24/19
Hi2a 1322v103xDB,10/8/19,10/10/19,10/17/19,10/19/19,10/23/19,10/24/19
Hi2a 42s102xF(sus),10/8/19,10/10/19,10/15/19,10/17/19,10/23/19,10/25/19
Hi2a 4222v103xF10xA,10/12/19,10/13/19,10/17/19,10/19/19,10/24/19,10/25/19
Hi2a 4228v10xA,10/9/19,10/15/19,10/16/19,10/19/19,10/23/19,10/26/19
Hi2a blank,10/7/19,10/22/19,10/14/19,10/23/19,10/22/19,10/30/19
Hi2b FL13,10/9/19,10/11/19,10/15/19,10/18/19,10/23/19,10/26/19
Hi2b 13s1xF(sus),10/8/19,10/11/19,10/15/19,10/18/19,10/22/19,10/25/19
Hi2b 1328v1xA103xB,10/9/19,10/15/19,10/15/19,10/18/19,10/23/19,10/25/19
Hi2b 131xC(sus),10/8/19,10/11/19,10/15/19,10/17/19,10/23/19,10/26/19
Hi2b 4228v10xE,10/11/19,10/14/19,10/18/19,10/20/19,10/23/19,10/26/19
Hi2b 13s103xCA,10/8/19,10/15/19,10/15/19,10/17/19,10/22/19,10/24/19
Hi2b 13s1xE,10/8/19,10/11/19,10/15/19,10/19/19,10/22/19,10/24/19
Hi2b 42s1xB,10/8/19,10/9/19,10/15/19,10/18/19,10/22/19,10/26/19
Hi2b 42s102xF,10/8/19,10/9/19,10/17/19,10/18/19,10/23/19,10/26/19
Hi2b 4228v103xA1xB,10/11/19,10/15/19,10/18/19,10/21/19,10/23/19,10/29/19
Hi2b 4222v103xF1xB,10/10/19,10/15/19,10/17/19,10/20/19,10/24/19,10/27/19
Hi2b 4222v103xF1xC,10/11/19,10/15/19,10/18/19,10/21/19,10/24/19,10/29/19
Hi2b 42s103xF10xC,10/10/19,10/11/19,10/16/19,10/19/19,10/23/19,10/26/19
Hi2b 13s103xCF,10/8/19,10/10/19,10/17/19,10/19/19,10/22/19,10/24/19
Hi2b 4222v103xF10xB,10/11/19,10/12/19,10/17/19,10/20/19,10/24/19,10/26/19
Hi2b 13s1xC,10/8/19,10/9/19,10/15/19,10/18/19,10/23/19,10/25/19
Hi2b 1322v103xF,10/8/19,10/11/19,10/15/19,10/19/19,10/22/19,10/23/19
Hi2b 1322v103xDB,10/15/19,10/22/19,10/17/19,10/20/19,10/23/19,10/24/19
Hi2b 42s102xF(sus),10/8/19,10/10/19,10/15/19,10/19/19,10/22/19,10/24/19
Hi2b 4222v103xF10xA,10/12/19,10/22/19,10/17/19,10/19/19,10/26/19,10/28/19
Hi2b 4228v10xA,10/11/19,10/15/19,10/16/19,10/19/19,10/25/19,10/29/19
Hi2b blank,10/7/19,10/22/19,10/14/19,10/23/19,10/22/19,10/30/19
Hi1b 1322v103xDA,10/12/19,10/13/19,10/16/19,10/19/19,10/23/19,10/25/19
Hi1b 4242v102xB1xA,10/8/19,10/10/19,10/18/19,10/20/19,10/23/19,10/26/19
Hi1b 4222v103xF10xC,10/11/19,10/12/19,10/16/19,10/18/19,10/23/19,10/25/19
Hi1b 4242v102xB1xB,10/8/19,10/9/19,10/16/19,10/18/19,10/23/19,10/28/19
Hi1b 1328v103xC,10/9/19,10/15/19,10/16/19,10/19/19,10/25/19,10/28/19
Hi1b 4222v103xF1xA,10/8/19,10/10/19,10/16/19,10/18/19,10/22/19,10/26/19
Hi1b 42s103xF10xA,10/10/19,10/12/19,10/15/19,10/20/19,10/23/19,10/28/19
Hi1b 42s103xF,10/8/19,10/11/19,10/16/19,10/17/19,10/22/19,10/25/19
Hi1b 42s103xF10xB,10/9/19,10/12/19,10/17/19,10/19/19,10/23/19,10/26/19
Hi1b 1328v1xF,10/10/19,10/12/19,10/16/19,10/19/19,10/22/19,10/24/19
Hi1b 1328v1xA103xA,10/9/19,10/15/19,10/16/19,10/17/19,10/24/19,10/26/19
Hi1b 42s1xB(sus),10/9/19,10/11/19,10/16/19,10/17/19,10/23/19,10/26/19
Hi1b 1322v10xA,10/9/19,10/14/19,10/15/19,10/19/19,10/23/19,10/26/19
Hi1b 1328v1xA103xC,10/9/19,10/12/19,10/16/19,10/19/19,10/24/19,10/29/19
Hi1b 1322v103xE,10/8/19,10/10/19,10/15/19,10/17/19,10/23/19,10/24/19
Hi1b 13s103xCD,10/8/19,10/10/19,10/14/19,10/17/19,10/22/19,10/24/19
Hi1b 4228v103xA1xA,10/9/19,10/11/19,10/16/19,10/19/19,10/26/19,10/29/19
Hi1b 13s103xCB,10/8/19,10/10/19,10/15/19,10/19/19,10/22/19,10/24/19
Hi1b 13s103xCC,10/12/19,10/15/19,10/15/19,10/19/19,10/23/19,10/25/19
Hi1b 4222v10xD,10/8/19,10/11/19,10/15/19,10/17/19,10/23/19,10/25/19
Hi1b 4242v1xD,10/8/19,10/11/19,10/15/19,10/18/19,10/25/19,10/26/19
Hi1b blank,10/7/19,10/22/19,10/14/19,10/23/19,10/22/19,10/30/19
Hi3b 13s103xC,10/8/19,10/10/19,10/15/19,10/18/19,10/24/19,10/26/19
Hi3b 42s103xF1xA,10/10/19,10/12/19,10/17/19,10/20/19,10/25/19,10/26/19
Hi3b 4242v102xB1xD,10/9/19,10/11/19,10/15/19,10/19/19,10/24/19,10/26/19
Hi3b 13s1xF,10/9/19,10/10/19,10/15/19,10/18/19,10/24/19,10/26/19
Hi3b 4242v102xB,10/11/19,10/12/19,10/15/19,10/18/19,10/24/19,10/29/19
Hi3b 42s103xF102x,10/9/19,10/10/19,10/17/19,10/19/19,10/25/19,10/29/19
Hi3b 42s103xF10xD,10/9/19,10/11/19,10/17/19,10/19/19,10/24/19,10/27/19
Hi3b 42s103xF,10/9/19,10/10/19,10/16/19,10/17/19,10/24/19,10/26/19
Hi3b 1328v1xA,10/9/19,10/10/19,10/16/19,10/19/19,10/24/19,10/26/19
Hi3b 13s1xE(sus),10/9/19,10/11/19,10/15/19,10/18/19,10/24/19,10/26/19
Hi3b 42s103xF1xB,10/8/19,10/9/19,NA,NA,10/23/19,10/28/19
Hi3b 4228v103xA1xC,10/10/19,10/12/19,10/18/19,10/21/19,10/25/19,10/27/19
Hi3b 13s103xCE,10/9/19,10/10/19,10/16/19,10/19/19,10/24/19,10/26/19
Hi3b 42s103xF10xE,10/9/19,10/10/19,10/17/19,10/19/19,10/24/19,10/28/19
Hi3b 4222v103xF,10/11/19,10/12/19,10/17/19,10/19/19,10/25/19,10/26/19
Hi3b FL42,10/11/19,10/12/19,10/18/19,10/20/19,10/24/19,10/28/19
Hi3b 4242v102xB1xC,10/9/19,10/10/19,10/18/19,10/20/19,10/25/19,10/26/19
Hi3b 4242v102xB1xE,10/8/19,10/10/19,10/16/19,10/19/19,10/25/19,10/26/19
Hi3b 42s103xE,10/8/19,10/11/19,10/15/19,10/17/19,10/24/19,10/26/19
